ISO3;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
MMR;91244;95466;101862;113393;134341;151444;171874;187120;206695;239197;264954;293916;318478;344532;372326;405377;451465;479596;469880
MNE;0;0;0;0;0;0;4456;4991;4612;4576;4727;4688;4391;4191;3834;3211;5416;3875;4284
MNG;113400;66900;60700;43600;52300;45300;44200;46600;54200;58565;47547;53591;59704;56436;54876;93252;92383;97680;126591
MOZ;12000;11250;3531;4941;5377;6148;6205;6691;7673;9356;8103;9926;11852;10772;11920;12303;15476;15444;13884
MRT;21000;22000;22000;23000;24000;25200;25800;25800;25800;25800;25787;27000;28200;29400;29000;30320;30612;30215;30176
MSR;720;720;720;720;720;720;781;750;720;720;720;729;736;730;736;736;735;736;736
MTQ;1947;1750;1842;1600;1700;1647;1626;1214;1200;1259;1090;1035;1010;1000;954;1036;1000;955;874
MUS;3250;2266;2792;2872;3284;3340;3071;1995;2050;2300;2420;2883;2414;2112;2111;2213;1763;1749;1817
MWI;17425;19475;21876;22588;22089;21344;24104;26583;28815;30046;32225;34055;35683;38382;39514;42362;41615;45736;50018
MYS;17501;19319;22190;23966;26658;29396;31885;34976;38250;42178;46510;48835;51277;51715;52901;50494;47956;49598;51301
NAM;63818;58035;49350;51600;43992;40191;36179;36164;36215;35993;35000;34300;35800;35500;38476;35811;34543;36499;31861
NCL;4038;4073;4005;3998;4034;3520;2992;3131;3147;3192;3426;3414;3416;3297;3484;3612;3036;2955;2886
NER;47549;43931;46277;45050;51440;58522;62825;53391;52622;54004;60357;54829;59105;41905;54439;58942;58909;59811;58560
NGA;279000;316031;357425;307827;323410;305610;259457;327984;328250;330250;306960;350009;288281;377794;381080;384396;379016;381796;390214
NIC;52500;54077;60145;65558;74844;75983;84620;92782;96080;107587;121040;128603;115121;120687;122108;115216;114368;147749;136940
NIU;2;2;2;2;2;2;3;3;3;3;3;3;3;2;3;3;3;3;3
NLD;471000;372000;384000;365000;386000;396008;384000;385571;378383;401752;388610;381559;373531;379100;376180;382520;416060;440639;385859
NOR;90568;85806;85637;85314;86572;87393;87643;84678;86447;84787;83508;81638;77982;83696;78732;79672;81676;85196;89396
NPL;169794;172023;174695;178391;182050;187828;190915;196331;201160;206777;212363;218868;223839;226982;225756;225631;227132;232550;237816
NRU;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
NZL;587457;590911;574304;632120;710348;663435;639975;631690;631020;637664;638013;618211;607044;627174;625675;675844;673070;641745;676530
OMN;3936;4048;4148;4148;4160;4810;5200;7410;8450;11440;14950;14950;15340;20800;17873;13888;14166;14449;14738
PAK;886000;908000;931000;953000;979000;1004000;1300000;1344000;1388000;1437000;1485000;1536000;1587000;1647000;1694000;1750000;1810000;1872000;1934000
PAN;69568;67313;65067;60539;63597;65575;67063;65400;67974;74558;79280;86302;91677;84897;82938;80899;71071;70079;70397
PHL;261772;255165;262471;259261;258949;249865;251822;288243;285979;288360;300005;300603;294983;296876;301468;304628;312033;310977;310720
PNG;2700;3000;3000;3075;3105;3135;3165;3210;3210;3210;3225;3240;3300;3265;3246;3242;3252;3255;3253
POL;348500;316300;281300;317400;310500;309500;362900;379500;393400;396900;400900;391200;382900;373900;446300;486700;512000;572300;595100
PRI;15122;12511;10647;9656;12583;9802;9800;10000;10200;10300;9031;8779;8495;8210;6793;7004;8084;8416;8205
PRK;20025;21450;21600;21750;21300;21450;21600;21750;21750;21750;21795;21795;21975;21975;21864;21804;21789;21932;21722
PRT;100787;96312;106638;105772;119260;119019;106087;91743;108540;102995;93159;96003;92988;84011;79843;88645;90704;91187;94026
PRY;231075;230884;233632;228960;215000;248679;300000;264829;293500;312000;343000;348000;302399;384378;467288;448537;468000;485000;495000
PSE;13921;11047;8268;7198;5028;5228;5437;4886;5065;4300;5810;6190;8100;8239;7510;8290;8476;8092;8286
PYF;207;157;117;156;174;129;130;149;118;162;116;132;164;144;147;144;144;143;143
QAT;540;312;312;324;480;300;324;324;324;516;576;468;480;495;481;647;541;556;581
REU;1615;1750;1782;1670;1733;1798;1859;1915;1816;1730;1440;1490;1550;1570;1621;1622;1608;1591;1593
ROU;162000;144558;156106;185400;161618;190196;159313;164642;149660;155199;154464;142306;114464;96179;107581;118851;116177;110991;98667
RUS;1897900;1878600;1967400;2002300;1953900;1809200;1721500;1699200;1768716;1740628;1727311;1625469;1641519;1633258;1654135;1649373;1588769;1569267;1608136
RWA;17160;19448;19760;23638;22965;23920;28600;31200;36920;35360;27538;28311;29021;29807;32209;37075;31637;29833;32707
SAU;21600;21640;21870;22275;22180;22400;24000;29000;29000;42100;44000;43600;51000;52000;37906;40800;41200;41600;42023
SDN;0;0;0;0;0;0;0;0;0;0;0;0;358000;358000;365000;366752;371735;379644;388987
